time,expected_wait_d,expected_wait_e,scenario,seed
104,3.0,3.0,spacing_12,0
105,3.0,3.0,spacing_12,0
106,3.0,3.0,spacing_12,0
107,3.0,3.0,spacing_12,0
0,3.0,3.0,memory_6,0
1,3.0,3.0,memory_6,0
2,3.0,3.0,memory_6,0
3,3.0,3.0,memory_6,0
4,3.0,3.0,memory_6,0
5,3.0,3.0,memory_6,0
6,3.0,3.0,memory_6,0
7,3.0,3.0,memory_6,0
8,3.0,3.0,memory_6,0
9,3.0,3.0,memory_6,0
10,3.0,3.0,memory_6,0
11,3.0,3.0,memory_6,0
12,3.0,3.0,memory_6,0
13,3.0,3.0,memory_6,0
14,3.0,3.0,memory_6,0
15,3.0,3.0,memory_6,0
16,3.0,3.0,memory_6,0
17,3.0,3.0,memory_6,0
18,3.0,3.0,memory_6,0
19,3.0,3.0,memory_6,0
20,3.0,3.0,memory_6,0
21,3.0,3.0,memory_6,0
22,3.0,3.0,memory_6,0
23,3.0,3.0,memory_6,0
24,3.0,3.0,memory_6,0
25,3.0,3.0,memory_6,0
26,3.0,3.0,memory_6,0
27,3.0,3.0,memory_6,0
28,3.0,3.0,memory_6,0
29,3.0,3.0,memory_6,0
30,3.0,3.0,memory_6,0
31,3.0,3.0,memory_6,0
32,3.0,3.0,memory_6,0
33,3.0,3.0,memory_6,0
34,3.0,3.0,memory_6,0
35,3.0,3.0,memory_6,0
36,3.0,3.0,memory_6,0
37,3.0,3.0,memory_6,0
38,3.0,3.0,memory_6,0
39,3.0,3.0,memory_6,0
40,3.0,3.0,memory_6,0
41,3.0,3.0,memory_6,0
42,3.0,3.0,memory_6,0
43,3.0,3.0,memory_6,0
44,3.0,3.0,memory_6,0
45,3.0,3.0,memory_6,0
46,3.0,3.0,memory_6,0
47,3.0,3.0,memory_6,0
48,3.0,3.0,memory_6,0
49,3.0,3.0,memory_6,0
50,3.0,3.0,memory_6,0
51,3.0,3.0,memory_6,0
52,3.0,3.0,memory_6,0
53,3.0,3.0,memory_6,0
54,3.0,3.0,memory_6,0
55,3.0,3.0,memory_6,0
56,3.0,3.0,memory_6,0
57,3.0,3.0,memory_6,0
58,3.0,3.0,memory_6,0
59,3.0,3.0,memory_6,0
60,3.0,3.0,memory_6,0
61,3.0,3.0,memory_6,0
62,3.0,3.0,memory_6,0
63,3.0,3.0,memory_6,0
64,3.0,3.0,memory_6,0
65,3.0,3.0,memory_6,0
0,3.0,3.0,memory_36,0
1,3.0,3.0,memory_36,0
2,3.0,3.0,memory_36,0
3,3.0,3.0,memory_36,0
4,3.0,3.0,memory_36,0
5,3.0,3.0,memory_36,0
6,3.0,3.0,memory_36,0
7,3.0,3.0,memory_36,0
8,3.0,3.0,memory_36,0
9,3.0,3.0,memory_36,0
10,3.0,3.0,memory_36,0
11,3.0,3.0,memory_36,0
12,3.0,3.0,memory_36,0
13,3.0,3.0,memory_36,0
14,3.0,3.0,memory_36,0
15,3.0,3.0,memory_36,0
16,3.0,3.0,memory_36,0
17,3.0,3.0,memory_36,0
18,3.0,3.0,memory_36,0
19,3.0,3.0,memory_36,0
20,3.0,3.0,memory_36,0
21,3.0,3.0,memory_36,0
22,3.0,3.0,memory_36,0
23,3.0,3.0,memory_36,0
24,3.0,3.0,memory_36,0
25,3.0,3.0,memory_36,0
26,3.0,3.0,memory_36,0
27,3.0,3.0,memory_36,0
28,3.0,3.0,memory_36,0
29,3.0,3.0,memory_36,0
30,3.0,3.0,memory_36,0
31,3.0,3.0,memory_36,0
32,3.0,3.0,memory_36,0
33,3.0,3.0,memory_36,0
34,3.0,3.0,memory_36,0
35,3.0,3.0,memory_36,0
36,3.0,3.0,memory_36,0
37,3.0,3.0,memory_36,0
38,3.0,3.0,memory_36,0
39,3.0,3.0,memory_36,0
40,3.0,3.0,memory_36,0
41,3.0,3.0,memory_36,0
42,3.0,3.0,memory_36,0
43,3.0,3.0,memory_36,0
44,3.0,3.0,memory_36,0
45,3.0,3.0,memory_36,0
46,3.0,3.0,memory_36,0
47,3.0,3.0,memory_36,0
48,3.0,3.0,memory_36,0
49,3.0,3.0,memory_36,0
50,3.0,3.0,memory_36,0
51,3.0,3.0,memory_36,0
52,3.0,3.0,memory_36,0
53,3.0,3.0,memory_36,0
54,3.0,3.0,memory_36,0
55,3.0,3.0,memory_36,0
56,3.0,3.0,memory_36,0
57,3.0,3.0,memory_36,0
58,3.0,3.0,memory_36,0
59,3.0,3.0,memory_36,0
60,3.0,3.0,memory_36,0
61,3.0,3.0,memory_36,0
62,3.0,3.0,memory_36,0
63,3.0,3.0,memory_36,0
64,3.0,3.0,memory_36,0
65,3.0,3.0,memory_36,0
0,3.0,3.0,symmetric_random,0
1,3.0,3.0,symmetric_random,0
2,3.0,3.0,symmetric_random,0
3,3.0,3.0,symmetric_random,0
4,3.0,3.0,symmetric_random,0
5,3.0,3.0,symmetric_random,0
6,3.0,3.0,symmetric_random,0
7,3.0,3.0,symmetric_random,0
8,3.0,3.0,symmetric_random,0
9,3.0,3.0,symmetric_random,0
10,3.0,3.0,symmetric_random,0
11,3.0,3.0,symmetric_random,0
12,3.0,3.0,symmetric_random,0
13,3.0,3.0,symmetric_random,0
14,3.0,3.0,symmetric_random,0
15,3.0,3.0,symmetric_random,0
16,3.0,3.0,symmetric_random,0
17,3.0,3.0,symmetric_random,0
18,3.0,3.0,symmetric_random,0
19,3.0,3.0,symmetric_random,0
20,3.0,3.0,symmetric_random,0
21,3.0,3.0,symmetric_random,0
22,3.0,3.0,symmetric_random,0
23,3.0,3.0,symmetric_random,0
24,3.0,3.0,symmetric_random,0
25,3.0,3.0,symmetric_random,0
26,3.0,3.0,symmetric_random,0
27,3.0,3.0,symmetric_random,0
28,3.0,3.0,symmetric_random,0
29,3.0,3.0,symmetric_random,0
30,3.0,3.0,symmetric_random,0
