time,new_disputes,new_complaints,new_complainants,new_domestic,new_customer,new_additional_channel,unresolved,pending,unsubmitted,closed_unresolved,pending_domestic,pending_domestic_institution,pending_domestic_implementation,new_domestic_supported,new_domestic_implemented,pending_customer,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,visible_domestic,visible_customer,cumulative_domestic_share,cumulative_customer_share,new_d_to_e,new_e_to_d,scenario,seed
9,0,0,0,0,0,0,38,0,0,38,0,0,0,0,2,0,2,37,75,75,2,0,1.0,0.0,0.0,0.0,domestic_only,19
10,0,0,0,0,0,0,38,0,0,38,0,0,0,0,0,0,0,37,75,75,0,0,1.0,0.0,0.0,0.0,domestic_only,19
11,0,0,0,0,0,0,38,0,0,38,0,0,0,0,0,0,0,37,75,75,0,0,1.0,0.0,0.0,0.0,domestic_only,19
12,0,0,0,0,0,0,38,0,0,38,0,0,0,0,0,0,0,37,75,75,0,0,1.0,0.0,0.0,0.0,domestic_only,19
13,0,0,0,0,0,0,38,0,0,38,0,0,0,0,0,0,0,37,75,75,0,0,1.0,0.0,0.0,0.0,domestic_only,19
14,0,0,0,0,0,0,38,0,0,38,0,0,0,0,0,0,0,37,75,75,0,0,1.0,0.0,0.0,0.0,domestic_only,19
15,0,0,0,0,0,0,38,0,0,38,0,0,0,0,0,0,0,37,75,75,0,0,1.0,0.0,0.0,0.0,domestic_only,19
16,0,0,0,0,0,0,38,0,0,38,0,0,0,0,0,0,0,37,75,75,0,0,1.0,0.0,0.0,0.0,domestic_only,19
17,0,0,0,0,0,0,38,0,0,38,0,0,0,0,0,0,0,37,75,75,0,0,1.0,0.0,0.0,0.0,domestic_only,19
18,0,0,0,0,0,0,38,0,0,38,0,0,0,0,0,0,0,37,75,75,0,0,1.0,0.0,0.0,0.0,domestic_only,19
19,0,0,0,0,0,0,38,0,0,38,0,0,0,0,0,0,0,37,75,75,0,0,1.0,0.0,0.0,0.0,domestic_only,19
20,0,0,0,0,0,0,38,0,0,38,0,0,0,0,0,0,0,37,75,75,0,0,1.0,0.0,0.0,0.0,domestic_only,19
21,0,0,0,0,0,0,38,0,0,38,0,0,0,0,0,0,0,37,75,75,0,0,1.0,0.0,0.0,0.0,domestic_only,19
22,0,0,0,0,0,0,38,0,0,38,0,0,0,0,0,0,0,37,75,75,0,0,1.0,0.0,0.0,0.0,domestic_only,19
23,0,0,0,0,0,0,38,0,0,38,0,0,0,0,0,0,0,37,75,75,0,0,1.0,0.0,0.0,0.0,domestic_only,19
24,0,0,0,0,0,0,38,0,0,38,0,0,0,0,0,0,0,37,75,75,0,0,1.0,0.0,0.0,0.0,domestic_only,19
25,0,0,0,0,0,0,38,0,0,38,0,0,0,0,0,0,0,37,75,75,0,0,1.0,0.0,0.0,0.0,domestic_only,19
26,0,0,0,0,0,0,38,0,0,38,0,0,0,0,0,0,0,37,75,75,0,0,1.0,0.0,0.0,0.0,domestic_only,19
27,0,0,0,0,0,0,38,0,0,38,0,0,0,0,0,0,0,37,75,75,0,0,1.0,0.0,0.0,0.0,domestic_only,19
28,0,0,0,0,0,0,38,0,0,38,0,0,0,0,0,0,0,37,75,75,0,0,1.0,0.0,0.0,0.0,domestic_only,19
29,0,0,0,0,0,0,38,0,0,38,0,0,0,0,0,0,0,37,75,75,0,0,1.0,0.0,0.0,0.0,domestic_only,19
30,0,0,0,0,0,0,38,0,0,38,0,0,0,0,0,0,0,37,75,75,0,0,1.0,0.0,0.0,0.0,domestic_only,19
31,0,0,0,0,0,0,38,0,0,38,0,0,0,0,0,0,0,37,75,75,0,0,1.0,0.0,0.0,0.0,domestic_only,19
32,0,0,0,0,0,0,38,0,0,38,0,0,0,0,0,0,0,37,75,75,0,0,1.0,0.0,0.0,0.0,domestic_only,19
